season,episode_general,episode_season,pitch,Sequence,Badidea,OpenInvestment,OpenEquity,OpenValue,Offer,OfSharksWhoBid,OfSharksWhoWon,SharksBidding,SharksWinning,RefusedSharks,RefusedInvestment,RefusedEquity,InvestOffered,EquityOffered,ValueOffered,offertoopen,AcceptedInvestment,AcceptedEquity,AcceptedValue,Finaltoopen,Accepted,Offeredandrejected,Licensing,Business,Duration,CurrentSales,CumulativeSales,ProjectedSales,PatentStatus,BulkOrders,TeamSize,Education,PastExperience,TimeDevoted,Endorsement,MoreThan1SharkBid,PatentStatus_v2,female,mixed_team,OpenInvestment_mio,OpenValue_mio,RefusedInvestment_mio,InvestOffered_mio,CurrentSales_mio,CumulativeSales_mio,ProjectedSales_mio,ValueOffered_mio,AcceptedInvestment_mio,AcceptedValue_mio,equity_diff,patent1,patent2,patent3,best_offertoopen,best_accepted_equity,best_accepted_value,best_accepted_value_mio,best_accepted_invest
1,1,1,1,1,0,460000,0.1,4600000,1,2,2,"Barbara, Daymond","Barbara, Daymond",,,,460000,0.5,920000,0.2,460000,0.5,920000,0.2,1,0,0,Pie factory,84,850000,,,No patent effort,1,1,3,1,1,0,1,0,0,0,0.46000001,4.5999999,,0.46000001,0.85000002,,,0.92000002,0.46000001,0.92000002,0.40000001,1,0,0,0.2,0.5,920000,0.92000002,0.46000001
1,1,1,2,2,1,1000000,0.15,6666666.667,0,0,0,,,,,,,,,,,,,,0,0,0,Bluetooth device to be inserted using surgery,,,,,No patent effort,,1,0,0,0,0,0,0,0,0,1,6.6666665,,,,,,,,,,1,0,0,,,,,
1,1,1,3,3,0,1200000,0.1,12000000,0,0,0,,,,,,,,,,,,,,0,0,0,Wireless spot for medical clinics,72,,,,No patent effort,,1,0,0,1,0,0,0,0,0,1.2,12,,,,,,,,,,1,0,0,,,,,
1,1,1,4,4,0,50000,0.15,333333.3333,1,1,1,Barbara,Barbara,,,,50000,0.5,100000,0.3,50000,0.5,100000,0.3,1,0,0,Kids medicine dispenser,,,,,No patent effort,,1,0,0,0,0,0,0,1,0,0.050000001,0.33333334,,0.050000001,,,,0.1,0.050000001,0.1,0.34999999,1,0,0,0.30000001,0.5,100000,0.1,0.050000001
1,1,1,5,5,0,250000,0.25,1000000,1,2,0,"Robert, Kevin O",,Robert,250000,0.5,250000,0.5,500000,0.5,,,,,0,1,0,Packing and junk removal services,,,,,No patent effort,,2,0,1,0,0,1,0,0,0,0.25,1,0.25,0.25,,,,0.5,,,,1,0,0,0.5,0.5,500000,0.5,0.25
1,2,2,6,1,0,200000,0.2,1000000,0,0,0,,,,,,,,,,,,,,0,0,0,Clothing,36,5000,,,No patent effort,0,1,0,0,1,0,0,0,0,0,0.2,1,,,0.005,,,,,,,1,0,0,,,,,
1,2,2,7,2,0,500000,0.1,5000000,1,2,0,"Robert, Kevin O",,Robert,1000000,1,1000000,1,1000000,0.2,,,,,0,1,0,Safety belt in vehicles ,,,,,Patent obtained,0,1,0,0,0,0,1,1,0,0,0.5,5,1,1,,,,1,,,,0,0,1,0.2,1,1000000,1,1
1,2,2,8,3,0,500000,0.15,3333333.333,1,3,2,"Robert & Kevin H, Kevin O",Robert & Kevin H,,,,500000,0.5,1000000,0.3,500000,0.5,1000000,0.3,1,0,0,Perfect pear jelly,,700000,,,No patent effort,,1,0,0,1,0,1,0,1,0,0.5,3.3333333,,0.5,0.69999999,,,1,0.5,1,0.34999999,1,0,0,0.30000001,0.5,1000000,1,0.5
1,2,2,9,4,1,100000,0.2,500000,0,0,0,,,,,,,,,,,,,,0,0,0,Sticky note organizer,,,,,No patent effort,0,1,0,0,0,0,0,0,1,0,0.1,0.5,,,,,,,,,,1,0,0,,,,,
1,2,2,10,5,0,250000,0.1,2500000,1,5,5,All,All,,,,250000,1,250000,0.1,250000,1,250000,0.1,1,0,0,Classroom jams education tool,,,,,Patent obtained,0,1,3,0,0,0,1,1,0,0,0.25,2.5,,0.25,,,,0.25,0.25,0.25,0.89999998,0,0,1,0.1,1,250000,0.25,0.25
1,3,3,11,1,0,35000,0.3,116666.6667,1,2,1,"Kevin H, Daymond",Kevin H,,,,35000,1,35000,0.3,35000,1,35000,0.3,1,0,0,Turbo baster,,,,,No patent effort,0,1,0,0,1,0,1,0,1,0,0.035,0.11666667,,0.035,,,,0.035,0.035,0.035,0.69999999,1,0,0,0.30000001,1,35000,0.035,0.035
1,3,3,12,2,0,100000,0.1,1000000,0,0,0,,,,,,,,,,,,,,0,0,0,Decorative items made from recycled chopsticks,,300000,500000,,No patent effort,0,1,0,0,1,0,0,0,0,0,0.1,1,,,0.30000001,0.5,,,,,,1,0,0,,,,,
1,3,3,13,3,0,250000,0.2,1250000,1,2,1,"Daymond, Barbara",Barbara,,,,250000,0.5,500000,0.4,250000,0.5,500000,0.4,1,0,0,Stress reducing children books,,,180000,,No patent effort,0,2,0,0,1,0,1,0,1,0,0.25,1.25,,0.25,,0.18000001,,0.5,0.25,0.5,0.30000001,1,0,0,0.40000001,0.5,500000,0.5,0.25
1,3,3,14,4,0,155000,0.1,1550000,0,0,0,,,,,,,,,,,,,,0,0,0,Educational flash cards,1.5,,,,No patent effort,0,1,0,0,0,0,0,0,0,0,0.155,1.55,,,,,,,,,,1,0,0,,,,,
1,3,3,15,5,0,500000,0.05,10000000,1,2,0,Kevin H & Kevin O,,Kevin H & Kevin O,500000,0.51,500000,0.51,980392,0.0980392,,,,,0,1,0,Foldable guitar,,,400000,,Patent obtained,0,2,0,0,1,0,1,1,0,0,0.5,10,0.5,0.5,,0.40000001,,0.98039198,,,,0,0,1,0.098039202,0.50999999,980392,0.98039198,0.5
1,4,4,16,1,0,150000,0.3,500000,1,2,2,"Kevin O, Robert","Kevin O, Robert",,,,200000,0.5,400000,0.8,200000,0.5,400000,0.8,1,0,0,Unused gift cards,,55000,120000,,No patent effort,0,2,0,0,0,0,1,0,0,0,0.15000001,0.5,,0.2,0.055,0.12,,0.40000001,0.2,0.40000001,0.2,1,0,0,0.80000001,0.5,400000,0.40000001,0.2
1,4,4,17,2,0,150000,0.25,600000,0,0,0,,,,,,,,,,,,,,0,0,0,Gifts with positive messages,,,29000,,No patent effort,0,1,0,0,0,0,0,0,1,0,0.15000001,0.60000002,,,,0.028999999,,,,,,1,0,0,,,,,
1,4,4,18,3,0,300000,0.4,750000,0,0,0,,,,,,,,,,,,,,0,0,0,Coffee branded gifts,,,,,Patent obtained,0,1,0,0,0,0,0,1,0,0,0.30000001,0.75,,,,,,,,,,0,0,1,,,,,
1,4,4,19,4,0,350000,0.15,2333333.333,1,2,0,Robert &  Kevin O,,Robert &  Kevin O,350000,0.75,350000,0.75,466667,0.200000143,,,,,0,1,0,Graffiti removal service,,,230000,,No patent effort,0,1,0,0,0,0,1,0,0,0,0.34999999,2.3333333,0.34999999,0.34999999,,0.23,,0.466667,,,,1,0,0,0.20000014,0.75,466667,0.466667,0.34999999
1,4,4,20,5,0,350000,0.15,2333333.333,1,4,1,"Barbara, Daymond & Robert & Kevin O",Barbara,Daymond & Robert & Kevin O,350000,0.51,350000,0.51,686275,0.294117857,350000,0.4,875000,0.375,1,0,0,Coverply for babies,,,200000,,Patent obtained,0,2,0,0,0,0,1,1,1,0,0.34999999,2.3333333,0.34999999,0.34999999,,0.2,,0.68627501,0.34999999,0.875,0.25,0,0,1,0.375,0.40000001,875000,0.875,0.34999999
